"Gross domestic product (GDP) at basic prices, by industry, provinces and territories (x 1,000,000)" c 1 2 3 4 5 6 7
"Annual"
"Table: 36-10-0402-01 (formerly CANSIM 379-0030)"
"Geography: Province or territory"

"Geography","North American Industry Classification System (NAICS) 7 8","Reference period","Chained (2012) dollars 9"
,,"2005","447.8"
,,"2006","408.3"
,,"2007","489.3"
,,"2008","499.7"
,,"2009","507.0"
,,"2010","522.7"
,,"2011","532.3"
,,"2012","524.4"
,,"2013","520.7"
,,"2014","526.3"
,,"2015","530.2"
,,"2016","539.3"
,,"2017","548.3"
,,"2018","563.8"
,,"2019","584.8"
,"Arts, entertainment and recreation  [71]","1999","44.4"
,,"2000","43.4"
,,"2001","45.6"
,,"2002","48.5"
,,"2003","49.7"
,,"2004","50.5"
,,"2005","55.1"
,,"2006","54.8"
,,"2007","60.0"
,,"2008","60.9"
,,"2009","62.6"
,,"2010","58.0"
,,"2011","57.3"
,,"2012","55.0"
,,"2013","61.0"
,,"2014","62.1"
,,"2015","56.3"
,,"2016","54.4"
,,"2017","54.4"
,,"2018","57.1"
,,"2019","60.7"
,"Accommodation and food services  [72]","1999","140.2"
,,"2000","145.2"
,,"2001","139.7"
,,"2002","143.1"
,,"2003","145.4"
,,"2004","151.6"
,,"2005","158.0"
,,"2006","153.8"
,,"2007","144.7"
,,"2008","145.7"
,,"2009","142.8"
,,"2010","141.9"
,,"2011","143.3"
,,"2012","145.3"
,,"2013","154.4"
,,"2014","159.3"
,,"2015","167.5"
,,"2016","174.7"
,,"2017","177.3"
,,"2018","184.3"
,,"2019","188.4"
,"Other services (except public administration)  [81]","1999","111.0"
,,"2000","114.0"
,,"2001","108.8"
,,"2002","112.9"
,,"2003","117.6"
,,"2004","115.0"
,,"2005","113.6"
,,"2006","116.2"
,,"2007","115.2"
,,"2008","117.2"
,,"2009","114.8"
,,"2010","116.3"
,,"2011","117.0"
,,"2012","120.9"
,,"2013","115.9"
,,"2014","117.5"
,,"2015","118.5"
,,"2016","118.4"
,,"2017","124.7"
,,"2018","124.0"
,,"2019","127.9"
,"Public administration  [91]","1999","548.2"
,,"2000","555.6"
,,"2001","560.7"
,,"2002","556.8"
,,"2003","557.6"
,,"2004","552.4"
,,"2005","644.0"
,,"2006","703.3"
,,"2007","632.1"
,,"2008","656.9"
,,"2009","674.0"
,,"2010","690.8"
,,"2011","700.8"
,,"2012","695.3"
,,"2013","691.4"
,,"2014","673.8"
,,"2015","675.9"
,,"2016","681.3"
,,"2017","692.7"
,,"2018","705.8"
,,"2019","721.7"
"Nova Scotia","Goods-producing industries  [T002] 10","1999","7,017.7"
,,"2000","7,392.9"
,,"2001","7,614.7"
,,"2002","7,962.4"
,,"2003","8,066.6"
,,"2004","8,062.6"
,,"2005","8,042.2"
,,"2006","7,530.8"
,,"2007","7,389.9"
,,"2008","7,581.5"
,,"2009","7,369.3"
,,"2010","7,678.6"
,,"2011","7,212.7"
,,"2012","6,855.0"
,,"2013","6,682.9"
,,"2014","6,711.6"
,,"2015","6,700.5"
,,"2016","6,805.8"
,,"2017","7,103.9"
,,"2018","7,197.8"
,,"2019","7,423.2"
,"Service-producing industries  [T003] 11","1999","21,600.3"
,,"2000","22,138.0"
,,"2001","22,720.3"
,,"2002","23,602.1"
,,"2003","23,906.5"
,,"2004","24,255.3"
,,"2005","24,683.1"
,,"2006","25,372.8"
,,"2007","25,832.7"
,,"2008","26,200.6"
,,"2009","26,437.8"
,,"2010","27,008.4"
,,"2011","27,587.4"
,,"2012","27,622.8"
,,"2013","27,700.4"
,,"2014","28,035.4"
,,"2015","28,312.4"
,,"2016","28,683.1"
,,"2017","29,109.8"
,,"2018","29,701.6"
,,"2019","30,384.4"
,"Industrial production  [T010] 12","1999","4,077.8"
,,"2000","4,652.6"
,,"2001","4,668.2"
,,"2002","4,980.8"
,,"2003","5,025.0"
,,"2004","5,036.5"
,,"2005","5,100.0"
,,"2006","4,638.9"
,,"2007","4,634.8"
,,"2008","4,711.9"
,,"2009","4,195.4"
,,"2010","4,351.0"
,,"2011","4,229.3"
,,"2012","3,850.6"
,,"2013","3,724.8"
,,"2014","3,815.2"
,,"2015","3,797.1"
,,"2016","3,814.3"
,,"2017","3,905.5"
,,"2018","4,226.8"
,,"2019","4,311.6"
,"Non-durable manufacturing industries  [T011] 13","1999","1,757.0"
,,"2000","1,688.2"
,,"2001","1,732.3"
,,"2002","1,828.7"
,,"2003","1,947.7"
,,"2004","2,026.6"
,,"2005","1,984.5"
,,"2006","1,621.9"
,,"2007","1,656.7"
,,"2008","1,656.6"
,,"2009","1,434.5"
,,"2010","1,575.5"
,,"2011","1,637.3"
,,"2012","1,517.1"
,,"2013","1,492.4"
,,"2014","1,364.4"
,,"2015","1,357.3"
,,"2016","1,339.2"
,,"2017","1,360.5"
,,"2018","1,452.4"
,,"2019","1,473.5"
,"Durable manufacturing industries  [T012] 14","1999","751.8"
,,"2000","882.0"
,,"2001","823.6"
,,"2002","942.4"
,,"2003","856.5"
,,"2004","996.9"
,,"2005","1,009.5"
,,"2006","1,010.8"
,,"2007","934.4"
,,"2008","959.6"
,,"2009","997.0"
,,"2010","1,063.6"
,,"2011","1,055.6"
,,"2012","1,071.2"
,,"2013","1,010.7"
,,"2014","1,031.2"
,,"2015","1,085.7"
,,"2016","1,125.0"
,,"2017","1,131.9"
,,"2018","1,200.4"
,,"2019","1,331.7"
,"Information and communication technology sector  [T013] 15","1999","903.2"
,,"2000","965.6"
,,"2001","1,103.6"
,,"2002","1,190.1"
,,"2003","1,237.1"
,,"2004","1,254.2"
,,"2005","1,351.9"
,,"2006","1,368.7"
,,"2007","1,368.1"
,,"2008","1,401.0"
,,"2009","1,352.4"
,,"2010","1,429.6"
,,"2011","1,393.8"
,,"2012","1,401.3"
,,"2013","1,334.8"
,,"2014","1,407.5"
,,"2015","1,507.1"
,,"2016","1,579.5"
,,"2017","1,612.1"
,,"2018","1,692.9"
,,"2019","1,733.5"
,"Energy sector  [T016] 16","1999","1,477.1"
,,"2000","2,038.2"
,,"2001","2,032.5"
,,"2002","2,149.0"
,,"2003","2,138.3"
,,"2004","1,893.8"
,,"2005","1,997.1"
,,"2006","1,891.5"
,,"2007","1,907.7"
,,"2008","1,945.4"
,,"2009","1,661.9"
,,"2010","1,624.1"
,,"2011","1,444.7"
,,"2012","1,176.0"
,,"2013","1,099.6"
,,"2014","1,133.6"
,,"2015","1,037.3"
,,"2016","1,010.0"
,,"2017","1,022.7"
,,"2018","1,063.8"
,,"2019","1,006.6"
,"Public sector  [T018] 17","1999","8,825.8"
,,"2000","8,801.5"
,,"2001","8,883.7"
,,"2002","9,112.8"
,,"2003","9,179.5"
,,"2004","9,251.7"
,,"2005","9,493.4"
,,"2006","9,713.7"
,,"2007","9,836.0"
,,"2008","10,012.8"
,,"2009","10,318.8"
,,"2010","10,502.2"
,,"2011","10,746.3"
,,"2012","10,506.3"
,,"2013","10,417.6"
,,"2014","10,498.4"
,,"2015","10,456.2"
,,"2016","10,456.2"
,,"2017","10,478.6"
,,"2018","10,698.2"
,,"2019","10,970.3"
,"Cannabis sector  [T021] 18","1999","50.4"
,,"2000","51.6"
,,"2001","57.7"
,,"2002","59.5"
,,"2003","61.1"
,,"2004","60.0"
,,"2005","62.2"
,,"2006","64.2"
,,"2007","66.6"
,,"2008","66.8"
,,"2009","70.8"
,,"2010","74.0"
,,"2011","78.8"
,,"2012","83.7"
,,"2013","93.1"
,,"2014","105.7"
,,"2015","116.0"
,,"2016","123.8"
,,"2017","122.2"
,,"2018","134.0"
,,"2019","130.2"
,"Agriculture, forestry, fishing and hunting  [11]","1999","713.0"
,,"2000","710.8"
,,"2001","792.5"
,,"2002","820.7"
,,"2003","870.2"
,,"2004","824.4"
,,"2005","861.5"
,,"2006","880.1"
,,"2007","790.1"
,,"2008","879.6"
,,"2009","856.4"
,,"2010","904.9"
,,"2011","907.1"
,,"2012","913.0"
,,"2013","906.2"
,,"2014","949.3"
,,"2015","938.6"
,,"2016","879.8"
,,"2017","853.0"
,,"2018","835.9"
,,"2019","849.8"
,"Mining, quarrying, and oil and gas extraction  [21]","1999","585.7"
,,"2000","1,087.6"
,,"2001","1,083.0"
,,"2002","1,095.3"
,,"2003","1,073.3"
,,"2004","938.7"
,,"2005","1,024.7"
,,"2006","941.9"
,,"2007","928.8"
,,"2008","962.7"
,,"2009","792.8"
,,"2010","739.4"
,,"2011","607.6"
,,"2012","450.5"
,,"2013","383.0"
,,"2014","575.7"
,,"2015","478.9"
,,"2016","484.0"
,,"2017","504.5"
,,"2018","735.2"
,,"2019","610.7"
,"Utilities  [22]","1999","768.4"
,,"2000","790.6"
,,"2001","836.2"
,,"2002","896.5"
,,"2003","939.9"
,,"2004","882.6"
,,"2005","827.5"
,,"2006","832.2"
,,"2007","905.9"
,,"2008","896.0"
,,"2009","800.9"
,,"2010","838.1"
,,"2011","819.8"
,,"2012","725.1"
,,"2013","761.8"
,,"2014","763.2"
,,"2015","762.5"
,,"2016","749.6"
,,"2017","785.0"
,,"2018","815.4"
,,"2019","808.3"
,"Construction  [23]","1999","2,312.8"
,,"2000","1,941.7"
,,"2001","2,121.2"
,,"2002","2,083.5"
,,"2003","2,108.3"
,,"2004","2,166.3"
,,"2005","1,986.7"
,,"2006","1,991.7"
,,"2007","1,931.7"
,,"2008","1,971.4"
,,"2009","2,420.9"
,,"2010","2,520.0"
,,"2011","2,159.4"
,,"2012","2,178.0"
,,"2013","2,137.2"
,,"2014","2,024.7"
,,"2015","2,056.1"
,,"2016","2,236.7"
,,"2017","2,520.2"
,,"2018","2,320.4"
,,"2019","2,452.9"
,"Manufacturing  [31-33]","1999","2,499.0"
,,"2000","2,576.7"
,,"2001","2,558.3"
,,"2002","2,778.6"
,,"2003","2,800.5"
,,"2004","3,027.5"
,,"2005","2,998.5"
,,"2006","2,637.9"
,,"2007","2,596.0"
,,"2008","2,621.1"
,,"2009","2,432.2"
,,"2010","2,641.4"
,,"2011","2,697.6"
,,"2012","2,588.4"
,,"2013","2,503.8"
,,"2014","2,397.2"
,,"2015","2,442.5"
,,"2016","2,461.7"
,,"2017","2,490.4"
,,"2018","2,651.2"
,,"2019","2,796.7"
,"Wholesale trade  [41]","1999","913.9"
,,"2000","938.5"
,,"2001","936.8"
,,"2002","982.5"
,,"2003","981.4"
,,"2004","1,001.7"
,,"2005","1,025.6"
,,"2006","1,042.6"
,,"2007","1,086.6"
,,"2008","1,041.1"
,,"2009","993.0"
,,"2010","1,090.3"
,,"2011","1,146.5"
,,"2012","1,098.8"
,,"2013","1,128.1"
,,"2014","1,175.2"
,,"2015","1,187.0"
,,"2016","1,156.5"
,,"2017","1,120.4"
,,"2018","1,144.6"
,,"2019","1,174.0"
,"Retail trade  [44-45]","1999","1,573.7"
,,"2000","1,661.4"
,,"2001","1,799.9"
,,"2002","1,878.4"
,,"2003","1,917.3"
,,"2004","1,944.4"
,,"2005","1,963.0"
,,"2006","2,074.6"
,,"2007","2,168.4"
,,"2008","2,232.1"
,,"2009","2,215.5"
,,"2010","2,262.5"
,,"2011","2,236.3"
,,"2012","2,221.7"
,,"2013","2,275.6"
,,"2014","2,275.6"
,,"2015","2,303.9"
,,"2016","2,400.4"
,,"2017","2,444.9"
,,"2018","2,449.1"
,,"2019","2,467.5"
,"Transportation and warehousing  [48-49]","1999","1,117.1"
,,"2000","1,211.5"
,,"2001","1,203.2"
,,"2002","1,224.5"
,,"2003","1,202.6"
,,"2004","1,208.0"
,,"2005","1,172.2"
,,"2006","1,174.2"
,,"2007","1,191.3"
,,"2008","1,212.7"
,,"2009","1,144.5"
,,"2010","1,170.2"
,,"2011","1,212.7"
,,"2012","1,162.7"
,,"2013","1,163.6"
,,"2014","1,211.2"
,,"2015","1,187.7"
,,"2016","1,233.9"
,,"2017","1,310.2"
,,"2018","1,351.9"
,,"2019","1,389.6"
,"Information and cultural industries  [51]","1999","978.4"
,,"2000","1,023.5"
,,"2001","1,123.1"
,,"2002","1,190.5"
,,"2003","1,170.6"
,,"2004","1,136.0"
,,"2005","1,256.4"
,,"2006","1,233.0"
,,"2007","1,243.8"
,,"2008","1,229.2"
,,"2009","1,211.1"
,,"2010","1,230.2"
,,"2011","1,203.2"
,,"2012","1,228.4"
,,"2013","1,223.5"
,,"2014","1,227.6"
,,"2015","1,299.9"
,,"2016","1,355.6"
,,"2017","1,372.7"
,,"2018","1,409.9"
,,"2019","1,443.7"
,"Finance and insurance  [52]","1999","1,606.0"
,,"2000","1,641.9"
,,"2001","1,574.7"
,,"2002","1,640.8"
,,"2003","1,676.2"
,,"2004","1,716.2"
,,"2005","1,695.1"
,,"2006","1,817.8"
,,"2007","1,894.6"
,,"2008","1,872.8"
,,"2009","1,885.1"
,,"2010","1,866.1"
,,"2011","1,913.4"
,,"2012","1,930.9"
,,"2013","1,906.0"
,,"2014","1,887.9"
,,"2015","1,942.6"
,,"2016","2,007.4"
,,"2017","2,107.3"
,,"2018","2,128.5"
,,"2019","2,187.0"
,"Real estate and rental and leasing  [53]","1999","3,624.0"
,,"2000","3,734.6"
,,"2001","3,910.3"
,,"2002","4,042.9"
,,"2003","4,163.6"
,,"2004","4,265.4"
,,"2005","4,386.0"
,,"2006","4,566.5"
,,"2007","4,652.1"
,,"2008","4,797.3"
,,"2009","4,947.4"
,,"2010","5,129.1"
,,"2011","5,286.5"
,,"2012","5,439.5"
,,"2013","5,558.6"
,,"2014","5,636.3"
,,"2015","5,741.2"
,,"2016","5,869.2"
,,"2017","6,009.2"
,,"2018","6,143.0"
,,"2019","6,294.5"
,"Professional, scientific and technical services  [54]","1999","985.8"
,,"2000","982.4"
,,"2001","1,051.2"
,,"2002","1,122.3"
,,"2003","1,175.4"
,,"2004","1,189.5"
,,"2005","1,202.1"
,,"2006","1,221.1"
,,"2007","1,248.9"
,,"2008","1,299.1"
,,"2009","1,279.5"
,,"2010","1,320.8"
,,"2011","1,356.4"
,,"2012","1,358.5"
,,"2013","1,405.0"
,,"2014","1,445.2"
,,"2015","1,513.1"
,,"2016","1,548.2"
,,"2017","1,558.1"
,,"2018","1,631.3"
,,"2019","1,661.4"
,"Management of companies and enterprises  [55]","1999","88.7"
,,"2000","102.0"
,,"2001","127.1"
,,"2002","138.5"
,,"2003","144.3"
,,"2004","137.3"
,,"2005","126.3"
,,"2006","127.7"
,,"2007","127.4"
,,"2008","138.4"
,,"2009","143.0"
,,"2010","130.2"
,,"2011","133.6"
,,"2012","135.5"
,,"2013","135.2"
,,"2014","124.8"
,,"2015","124.1"
,,"2016","105.2"
,,"2017","97.5"
,,"2018","84.0"
,,"2019","72.5"
,"Administrative and support, waste management and remediation services  [56]","1999","502.3"
,,"2000","578.5"
,,"2001","606.2"
,,"2002","679.4"
,,"2003","722.6"
,,"2004","836.0"
,,"2005","823.0"
,,"2006","832.2"
,,"2007","827.8"
,,"2008","797.8"
,,"2009","767.7"
,,"2010","767.5"
,,"2011","780.7"
,,"2012","779.1"
,,"2013","737.9"
,,"2014","756.4"
,,"2015","764.6"
,,"2016","735.6"
,,"2017","740.5"
,,"2018","753.5"
,,"2019","735.1"
,"Educational services  [61]","1999","1,973.5"
,,"2000","1,953.3"
,,"2001","1,953.5"
,,"2002","1,996.6"
,,"2003","1,996.1"
,,"2004","2,031.5"
,,"2005","2,100.7"
,,"2006","2,128.9"
,,"2007","2,197.8"
,,"2008","2,251.8"
,,"2009","2,301.3"
,,"2010","2,338.7"
,,"2011","2,392.6"
,,"2012","2,395.0"
,,"2013","2,388.5"
,,"2014","2,409.0"
,,"2015","2,415.1"
,,"2016","2,412.7"
,,"2017","2,420.3"
,,"2018","2,458.1"
,,"2019","2,505.1"
,"Health care and social assistance  [62]","1999","2,735.5"
,,"2000","2,753.8"
,,"2001","2,853.5"
,,"2002","2,961.3"
,,"2003","2,988.8"
,,"2004","3,022.5"
,,"2005","3,101.6"
,,"2006","3,177.1"
,,"2007","3,243.3"
,,"2008","3,303.9"
,,"2009","3,408.1"
,,"2010","3,460.4"
,,"2011","3,540.5"
,,"2012","3,561.6"
,,"2013","3,587.6"
,,"2014","3,682.6"
,,"2015","3,666.6"
,,"2016","3,707.4"
,,"2017","3,709.4"
,,"2018","3,792.9"
,,"2019","3,919.7"
,"Arts, entertainment and recreation  [71]","1999","215.2"
,,"2000","223.6"
,,"2001","227.6"
,,"2002","237.9"
,,"2003","226.6"
,,"2004","229.8"
,,"2005","225.9"
,,"2006","217.0"
,,"2007","207.0"
,,"2008","202.1"
,,"2009","190.9"
,,"2010","201.6"
,,"2011","200.8"
,,"2012","196.0"
,,"2013","190.0"
,,"2014","199.4"
,,"2015","199.8"
,,"2016","206.5"
,,"2017","212.8"
,,"2018","216.1"
,,"2019","228.3"
,"Accommodation and food services  [72]","1999","761.6"
,,"2000","784.0"
,,"2001","797.8"
,,"2002","819.8"
,,"2003","820.1"
,,"2004","815.8"
,,"2005","794.4"
,,"2006","797.6"
,,"2007","797.6"
,,"2008","812.5"
,,"2009","815.0"
,,"2010","820.5"
,,"2011","826.4"
,,"2012","843.2"
,,"2013","823.7"
,,"2014","846.1"
,,"2015","860.3"
,,"2016","888.9"
,,"2017","920.6"
,,"2018","931.7"
,,"2019","976.2"
,"Other services (except public administration)  [81]","1999","614.3"
,,"2000","640.8"
,,"2001","657.9"
,,"2002","711.1"
,,"2003","702.9"
,,"2004","698.7"
,,"2005","704.8"
,,"2006","736.1"
,,"2007","716.7"
,,"2008","739.2"
,,"2009","739.4"
,,"2010","710.0"
,,"2011","735.7"
,,"2012","722.3"
,,"2013","731.3"
,,"2014","739.2"
,,"2015","726.5"
,,"2016","725.9"
,,"2017","752.4"
,,"2018","775.1"
,,"2019","799.1"
,"Public administration  [91]","1999","3,941.6"
,,"2000","3,922.6"
,,"2001","3,910.7"
,,"2002","3,987.8"
,,"2003","4,027.4"
,,"2004","4,028.8"
,,"2005","4,117.1"
,,"2006","4,230.9"
,,"2007","4,214.2"
,,"2008","4,272.6"
,,"2009","4,420.0"
,,"2010","4,510.2"
,,"2011","4,615.9"
,,"2012","4,549.7"
,,"2013","4,444.7"
,,"2014","4,415.1"
,,"2015","4,382.7"
,,"2016","4,344.0"
,,"2017","4,356.8"
,,"2018","4,455.1"
,,"2019","4,553.2"
"New Brunswick","Goods-producing industries  [T002] 10","1999","7,820.1"
,,"2000","7,930.4"
,,"2001","7,886.2"
,,"2002","8,269.0"
,,"2003","8,560.8"
,,"2004","8,586.7"
,,"2005","8,268.6"
,,"2006","8,384.0"
,,"2007","8,290.8"
,,"2008","8,188.4"
,,"2009","7,506.2"
,,"2010","7,765.6"
,,"2011","7,724.3"
,,"2012","7,398.4"
,,"2013","7,257.6"
,,"2014","7,176.8"
,,"2015","7,411.8"
,,"2016","7,501.1"
,,"2017","7,841.3"
,,"2018","7,788.0"
,,"2019","7,806.9"
,"Service-producing industries  [T003] 11","1999","16,801.3"
,,"2000","17,223.0"
,,"2001","17,649.1"
,,"2002","18,479.9"
,,"2003","18,792.7"
,,"2004","19,509.1"
,,"2005","20,056.2"
,,"2006","20,443.3"
,,"2007","20,701.8"
,,"2008","21,048.0"
,,"2009","21,283.8"
,,"2010","21,630.1"
,,"2011","21,734.6"
,,"2012","21,719.0"
,,"2013","21,761.7"
,,"2014","21,866.0"
,,"2015","21,876.6"
,,"2016","22,060.1"
,,"2017","22,430.1"
,,"2018","22,617.3"
,,"2019","22,934.5"
,"Industrial production  [T010] 12","1999","5,151.8"
,,"2000","5,103.7"
,,"2001","5,084.0"
,,"2002","5,379.4"
,,"2003","5,607.8"
,,"2004","5,687.9"
,,"2005","5,448.8"
,,"2006","5,359.8"
,,"2007","5,263.1"
,,"2008","5,116.3"
,,"2009","4,652.0"
,,"2010","4,853.6"
,,"2011","4,821.0"
,,"2012","4,627.8"
,,"2013","4,664.7"
,,"2014","4,539.5"
,,"2015","4,669.9"
,,"2016","4,655.6"
,,"2017","4,716.7"
,,"2018","4,553.1"
,,"2019","4,690.7"
,"Non-durable manufacturing industries  [T011] 13","1999","1,990.2"
,,"2000","2,155.3"
,,"2001","2,154.8"
,,"2002","2,389.3"
,,"2003","2,599.2"
,,"2004","2,654.8"
,,"2005","2,288.6"
,,"2006","2,157.0"
,,"2007","2,107.8"
,,"2008","1,988.6"
,,"2009","2,009.3"
,,"2010","2,044.2"
,,"2011","1,995.5"
,,"2012","1,931.9"
,,"2013","2,030.4"
,,"2014","1,924.7"
,,"2015","2,046.0"
,,"2016","2,062.1"
,,"2017","2,100.9"
,,"2018","1,946.4"
,,"2019","1,982.3"
,"Durable manufacturing industries  [T012] 14","1999","970.3"
,,"2000","979.3"
,,"2001","936.2"
,,"2002","1,038.4"
,,"2003","1,038.9"
,,"2004","1,014.8"
,,"2005","1,029.3"
,,"2006","988.7"
,,"2007","919.3"
,,"2008","865.7"
,,"2009","826.5"
,,"2010","948.9"
,,"2011","989.2"
,,"2012","977.2"
,,"2013","990.5"
,,"2014","978.6"
,,"2015","912.5"
,,"2016","920.4"
,,"2017","919.6"
,,"2018","939.1"
,,"2019","962.5"
,"Information and communication technology sector  [T013] 15","1999","709.1"
,,"2000","761.1"
,,"2001","801.2"
,,"2002","864.3"
,,"2003","890.3"
,,"2004","864.5"
,,"2005","920.0"
,,"2006","959.9"
,,"2007","941.0"
,,"2008","981.7"
,,"2009","951.1"
,,"2010","968.8"
,,"2011","1,024.3"
,,"2012","1,017.0"
,,"2013","948.7"
,,"2014","963.0"
,,"2015","980.9"
,,"2016","1,026.5"
,,"2017","1,068.3"
,,"2018","1,105.9"
,,"2019","1,134.2"
,"Energy sector  [T016] 16","1999","1,557.3"
,,"2000","1,489.3"
,,"2001","1,637.4"
,,"2002","1,587.2"
,,"2003","1,711.2"
,,"2004","1,792.7"
,,"2005","2,028.0"
,,"2006","1,827.4"
,,"2007","1,849.4"
,,"2008","1,813.0"
,,"2009","1,799.5"
,,"2010","1,770.0"
,,"2011","1,706.1"
,,"2012","1,603.0"
,,"2013","1,731.6"
,,"2014","1,677.1"
,,"2015","1,677.2"
,,"2016","1,686.4"
,,"2017","1,687.1"
,,"2018","1,589.1"
,,"2019","1,729.2"
,"Public sector  [T018] 17","1999","6,315.3"
,,"2000","6,403.1"
,,"2001","6,470.2"
,,"2002","6,630.2"
,,"2003","6,770.0"
,,"2004","6,851.7"
,,"2005","6,977.8"
,,"2006","7,174.2"
,,"2007","7,354.2"
,,"2008","7,572.9"
,,"2009","7,842.7"
,,"2010","8,006.8"
,,"2011","8,012.3"
,,"2012","7,987.3"
,,"2013","7,916.8"
,,"2014","7,879.6"
,,"2015","7,818.4"
,,"2016","7,869.6"
,,"2017","7,940.8"
,,"2018","8,099.7"
,,"2019","8,269.5"
,"Cannabis sector  [T021] 18","1999","44.1"
,,"2000","45.2"
,,"2001","51.8"
,,"2002","53.7"
,,"2003","55.3"
,,"2004","58.1"
,,"2005","58.2"
,,"2006","58.0"
,,"2007","57.0"
,,"2008","57.8"
,,"2009","55.8"
,,"2010","59.5"
,,"2011","61.9"
,,"2012","68.5"
,,"2013","74.3"
,,"2014","80.2"
,,"2015","88.2"
,,"2016","92.6"
,,"2017","90.7"
,,"2018","95.9"
,,"2019","87.6"
,"Agriculture, forestry, fishing and hunting  [11]","1999","702.2"
,,"2000","741.2"
,,"2001","860.4"
,,"2002","923.4"
,,"2003","815.0"
,,"2004","875.1"
,,"2005","828.9"
,,"2006","811.9"
,,"2007","711.7"
,,"2008","730.8"
,,"2009","747.3"
,,"2010","822.6"
,,"2011","783.9"
,,"2012","826.1"
,,"2013","847.0"
,,"2014","899.8"
,,"2015","959.9"
,,"2016","989.1"
,,"2017","1,022.8"
,,"2018","977.9"
,,"2019","1,001.7"
,"Mining, quarrying, and oil and gas extraction  [21]","1999","1,517.4"
,,"2000","1,218.2"
,,"2001","1,280.8"
,,"2002","964.0"
,,"2003","956.5"
,,"2004","921.5"
,,"2005","835.7"
,,"2006","1,223.5"
,,"2007","1,174.1"
,,"2008","1,275.1"
,,"2009","807.0"
,,"2010","878.6"
,,"2011","863.0"
,,"2012","789.6"
,,"2013","476.4"
,,"2014","362.4"
,,"2015","457.8"
,,"2016","373.3"
,,"2017","400.5"
,,"2018","377.4"
,,"2019","319.0"
,"Utilities  [22]","1999","1,108.3"
,,"2000","972.9"
,,"2001","983.3"
,,"2002","972.4"
,,"2003","974.5"
,,"2004","1,029.5"
,,"2005","1,159.2"
,,"2006","1,004.7"
,,"2007","1,076.4"
,,"2008","1,025.9"
,,"2009","939.7"
,,"2010","915.4"
,,"2011","916.4"
,,"2012","863.7"
,,"2013","1,057.2"
,,"2014","1,168.9"
,,"2015","1,135.2"
,,"2016","1,162.8"
,,"2017","1,153.6"
,,"2018","1,155.8"
,,"2019","1,296.3"
,"Construction  [23]","1999","1,976.1"
,,"2000","2,105.7"
,,"2001","1,863.1"
,,"2002","1,865.2"
,,"2003","2,137.2"
,,"2004","1,987.8"
,,"2005","1,973.4"
,,"2006","2,240.4"
,,"2007","2,386.6"
,,"2008","2,424.2"
,,"2009","2,181.7"
,,"2010","2,160.8"
,,"2011","2,191.0"
,,"2012","2,009.8"
,,"2013","1,787.6"
,,"2014","1,796.2"
,,"2015","1,838.9"
,,"2016","1,913.4"
,,"2017","2,152.7"
,,"2018","2,310.8"
,,"2019","2,167.8"
,"Manufacturing  [31-33]","1999","2,990.6"
,,"2000","3,150.7"
,,"2001","3,102.0"
,,"2002","3,440.6"
,,"2003","3,631.2"
,,"2004","3,650.9"
,,"2005","3,339.1"
,,"2006","3,169.4"
,,"2007","3,043.7"
,,"2008","2,869.8"
,,"2009","2,849.9"
,,"2010","3,002.8"
,,"2011","2,987.9"
,,"2012","2,909.1"
,,"2013","3,027.9"
,,"2014","2,903.0"
,,"2015","2,968.1"
,,"2016","2,990.8"
,,"2017","3,029.3"
,,"2018","2,892.4"
,,"2019","2,951.6"
,"Wholesale trade  [41]","1999","950.8"
,,"2000","975.9"
,,"2001","1,034.8"
,,"2002","1,097.9"
,,"2003","1,186.2"
,,"2004","1,481.1"
,,"2005","1,666.3"
,,"2006","1,489.9"
,,"2007","1,380.2"
,,"2008","1,334.1"
,,"2009","1,229.8"
,,"2010","1,220.1"
,,"2011","1,164.6"
,,"2012","1,068.2"
,,"2013","1,113.0"
,,"2014","1,056.5"
,,"2015","1,029.8"
,,"2016","1,009.5"
,,"2017","1,023.4"
,,"2018","983.2"
,,"2019","1,030.0"
,"Retail trade  [44-45]","1999","1,195.0"
,,"2000","1,289.2"
,,"2001","1,319.5"
,,"2002","1,365.1"
,,"2003","1,398.9"
,,"2004","1,449.1"
,,"2005","1,480.0"
,,"2006","1,555.2"
,,"2007","1,619.9"
,,"2008","1,683.4"
,,"2009","1,715.6"
,,"2010","1,777.0"
,,"2011","1,748.4"
,,"2012","1,711.4"
,,"2013","1,789.4"
,,"2014","1,839.5"
,,"2015","1,832.6"
,,"2016","1,845.6"
,,"2017","1,924.5"
,,"2018","1,928.2"
,,"2019","1,949.9"
,"Transportation and warehousing  [48-49]","1999","1,353.6"
,,"2000","1,399.3"
,,"2001","1,434.0"
,,"2002","1,494.2"
,,"2003","1,437.8"
,,"2004","1,436.6"
,,"2005","1,415.2"
,,"2006","1,438.4"
,,"2007","1,478.7"
,,"2008","1,397.3"
,,"2009","1,333.5"
,,"2010","1,400.0"
,,"2011","1,387.7"
,,"2012","1,376.0"
,,"2013","1,414.6"
,,"2014","1,439.0"
,,"2015","1,443.3"
,,"2016","1,506.4"
,,"2017","1,581.3"
,,"2018","1,487.3"
,,"2019","1,505.5"
,"Information and cultural industries  [51]","1999","647.9"
,,"2000","700.2"
,,"2001","748.8"
,,"2002","807.2"
,,"2003","792.6"
,,"2004","777.9"
,,"2005","829.9"
,,"2006","873.0"
,,"2007","837.4"
